date,id,name,category,前日漲跌幅,昨日漲跌幅,距20日最高價,開盤位置,開盤價,收盤價,漲跌幅,A轉跌幅,成交量,前日成交量,昨日成交量,三大買賣超,融券5N,昨日融券,融券差額(張),融券增加,融資5N,昨日融資,融資差額(張),投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力買賣超(張),主力今日%,投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資5買%,外資10買%,外資20買%,外資5買N天,外資10買N天,外資20買N天,主力5買%,主力10買%,主力20買%,月增率%,年增率%,累計年增率%,ma5距離,ma10距離,ma20距離,ma60距離,買超主力,買超趴數,買超主力2,買超趴數2,買超主力3,買超趴數3
2024-04-02,1723,中碳,化學工業,-2.43,-1.24,9.0,0.42,119.5,118.0,-0.84,-1.26,683.12,3294.73,1183.01,-224.0,1.0,0.0,-30.0,-inf,1.0,-233.0,-91.0,0.0,0.0,4.49,-170.0,-0.07,8.31,-54.0,-0.02,0.69,,,1.07,1.74,1.77,4.0,9.0,14.0,-0.57,-0.82,-1.02,1.0,3.0,6.0,,,,,,,-2.6,-2.4,0.58,2.24,凱基-台北,10.69%,統一,4.39%,美好-蘆洲,3.07%
2024-04-02,1731,美吾華,生技醫療業,-4.15,0.19,1.6000000000000014,0.56,26.75,26.2,-1.5,-2.06,574.57,1296.9,343.17,48.0,1.0,6.0,-5.0,-1.83,1.0,-20.0,-40.0,0.0,0.0,0.0,41.0,0.03,3.24,7.0,0.01,0.27,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.29,0.6,4.0,8.0,16.0,,,,,,,-0.44,-0.01,0.27,2.28,美林,9.04%,元大-彰化,4.17%,第一金-路竹,3.83%
2024-04-02,1762,中化生,生技醫療業,-2.3,0.82,1.2999999999999972,0.0,49.25,48.75,-1.02,-1.52,321.27,408.81,110.29,-6.0,4.0,11.0,5.0,-0.55,2.0,-9.0,-9.0,0.0,0.0,0.0,-5.0,-0.01,2.36,-1.0,-0.0,0.67,,,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.39,0.71,3.0,7.0,13.0,,,,,,,-0.56,-0.78,-0.57,-2.91,永豐金-市政,7.79%,兆豐-新營,6.23%,元大-木柵,3.43%
2024-04-02,2206,三陽工業,汽車工業,-2.09,0.13,3.799999999999997,0.27,75.3,74.7,-0.53,-1.06,2507.56,5400.94,1927.3,-697.0,2.0,4.0,-11.0,-3.75,1.0,-74.0,-108.0,-4.0,-0.0,0.68,-736.0,-0.09,8.09,43.0,0.01,0.71,,,-0.01,-0.03,0.13,0.0,1.0,8.0,-0.17,0.08,-0.58,2.0,4.0,6.0,,,,,,,-0.66,-1.26,-1.12,1.18,永豐金-內湖,9.97%,港商野村,2.71%,元大-高雄,2.67%
2024-04-02,2301,光寶科,電腦及週邊設備業,-4.72,-0.99,20.5,0.5,100.5,104.0,4.0,-1.42,38634.69,66886.13,20586.86,-10567.0,3.0,-77.0,56.0,-1.73,5.0,670.0,124.0,866.0,0.04,11.25,-11729.0,-0.5,28.09,296.0,0.01,6.79,,,0.04,1.99,2.37,4.0,9.0,15.0,-2.12,-3.82,-5.73,0.0,0.0,1.0,,,,,,,-0.7,-9.1,-9.22,-7.69,富邦證券,2.67%,群益金鼎,2.65%,國票-敦北法人,2.28%
2024-04-02,2324,仁寶,電腦及週邊設備業,-5.48,0.97,2.1000000000000014,0.27,36.65,36.85,0.82,-1.21,27226.74,77618.97,24860.89,3495.0,3.0,12.0,50.0,3.17,3.0,1592.0,-363.0,1188.0,0.03,13.93,3572.0,0.08,43.64,-1265.0,-0.03,8.38,,,-0.01,-0.04,-0.06,2.0,3.0,7.0,0.06,0.14,-0.33,4.0,6.0,10.0,,,,,,,-0.35,-0.89,-0.48,-0.17,美林,17.59%,台灣匯立證券,4.3%,摩根大通,2.64%
2024-04-02,2739,寒舍,觀光事業,-2.67,1.73,4.299999999999997,0.0,50.1,49.35,-1.5,-2.47,330.38,867.19,333.75,-112.0,1.0,0.0,0.0,,3.0,-20.0,11.0,0.0,0.0,0.0,-47.0,-0.05,3.86,-65.0,-0.07,0.1,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.2,0.43,2.0,5.0,11.0,,,,,,,-0.89,-1.4,-1.72,-5.32,元大-樹林,6.06%,港商野村,3.33%,台中銀-豐原,2.42%
2024-04-02,3005,神基,電腦及週邊設備業,-4.14,0.78,31.0,0.39,129.0,128.5,0.0,-1.53,6531.42,23092.8,12651.69,953.0,4.0,192.0,7.0,-0.96,2.0,415.0,-209.0,-22.0,-0.0,15.78,1090.0,0.18,14.84,-115.0,-0.02,5.26,,,0.56,2.84,4.82,2.0,6.0,14.0,0.31,-3.64,-8.33,3.0,3.0,4.0,,,,,,,-4.9,-12.3,-6.35,10.61,台灣摩根士丹利,12.48%,摩根大通,6%,美林,2.82%
2024-04-02,3083,網龍,文化創意業,-2.08,2.5,4.399999999999999,0.56,53.5,52.4,-1.5,-2.24,873.09,1400.4,905.48,-76.0,1.0,8.0,-17.0,-3.12,3.0,-4.0,50.0,0.0,0.0,1.35,-74.0,-0.09,3.12,-2.0,-0.0,0.73,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,0.78,2.6,3.0,6.0,16.0,,,,,,,-0.56,-0.93,1.83,5.72,台新證券,9.62%,港商法國興業,3.21%,元大-上新莊,2.41%
2024-04-02,3169,亞信,半導體業,-2.34,1.2,27.0,1.19,128.0,126.0,-0.4,-1.56,329.3,1019.62,369.38,-83.0,2.0,0.0,0.0,,0.0,-6.0,-37.0,0.0,0.0,0.0,-74.0,-0.12,1.73,-9.0,-0.01,1.02,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,-0.63,-1.33,2.0,4.0,9.0,,,,,,,-1.1,-4.0,-8.6,-4.93,凱基-永華,9.12%,凱基-竹北,6.08%,土銀-新竹,4.86%
2024-04-02,3406,玉晶光,光電業,-2.55,-1.31,42.0,0.72,493.0,484.5,-1.02,-2.32,1479.91,3418.4,2240.4,-12.0,2.0,-9.0,-14.0,0.56,2.0,41.0,-88.0,-70.0,-0.06,0.12,157.0,0.14,30.71,-99.0,-0.09,9.12,,,-0.64,-0.48,-0.84,0.0,3.0,5.0,0.72,1.98,3.7,4.0,7.0,11.0,,,,,,,-12.3,-5.2,34.5,62.6,香港上海匯豐,8.04%,美商高盛,7.64%,港商法國興業,4.39%
2024-04-02,3437,榮創,光電業,-2.76,0.5,4.250000000000004,0.0,30.15,29.8,-1.16,-1.32,1079.13,1837.06,977.5,-134.0,1.0,-10.0,-24.0,1.4,4.0,-83.0,28.0,0.0,0.0,0.0,-139.0,-0.1,4.24,5.0,0.0,0.45,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.34,-0.45,-1.36,2.0,4.0,7.0,,,,,,,-0.27,-0.18,-0.61,-1.34,大昌-新店,9.92%,統一-台中,4.63%,摩根大通,3.15%
2024-04-02,4121,優盛,生技醫療業,-2.49,1.18,2.6000000000000014,0.0,25.75,25.25,-1.94,-1.94,381.26,613.45,376.92,-115.0,2.0,4.0,-5.0,-2.25,3.0,7.0,-13.0,0.0,0.0,0.0,-116.0,-0.14,2.23,1.0,0.0,2.18,,,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.38,0.87,3.0,7.0,15.0,,,,,,,-0.53,-1.11,-0.96,0.29,大昌-安康,5.25%,新光-台中,4.72%,臺銀-新竹,4.2%
2024-04-02,4148,全宇生技-KY,生技醫療業,-3.26,1.58,3.200000000000003,-0.19,51.2,51.7,0.78,-0.19,41.0,92.43,60.15,1.0,0.0,0.0,0.0,,1.0,-2.0,-12.0,0.0,0.0,0.0,2.0,0.0,73.17,-1.0,-0.0,0.05,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.17,-0.17,-0.06,1.0,4.0,11.0,,,,,,,-0.32,-1.24,-1.06,1.67,元富-緯城,19.51%,凱基-台北,17.07%,富邦-嘉義,12.2%
2024-04-02,4915,致伸,電子零組件業,-2.45,-1.19,6.599999999999994,0.24,82.9,82.7,0.0,-1.43,3343.42,16407.32,5241.5,-434.0,4.0,81.0,-29.0,-1.36,1.0,-72.0,-248.0,122.0,0.03,24.97,-551.0,-0.12,37.56,-5.0,-0.0,1.54,,,3.24,4.08,4.71,4.0,7.0,13.0,-2.19,-2.13,-0.85,1.0,4.0,13.0,,,,,,,-1.32,-1.47,1.61,10.57,香港上海匯豐,11.52%,摩根大通,6.73%,元大證券,3.8%
2024-04-02,4943,康控-KY,電子零組件業,-9.98,-0.21,4.550000000000001,4.73,25.45,24.35,0.21,-4.32,75.75,298.44,86.01,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.41,0.0,0.0,1.61,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,-1.26,-2.31,-1.47,5.63,華南永昌-苗栗,13.16%,元大-大同,13.16%,元大-善化,6.58%
2024-04-02,5202,力新,資訊服務業,-5.52,4.72,4.100000000000001,0.86,23.5,23.45,0.64,-0.21,364.14,1662.06,895.97,90.0,4.0,9.0,21.0,1.33,1.0,146.0,-23.0,0.0,0.0,0.0,14.0,0.02,1.68,76.0,0.09,0.12,,,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.03,0.49,3.0,5.0,10.0,,,,,,,0.08,-0.56,-0.81,3.3,台新證券,24.18%,美商高盛,6.04%,摩根大通,3.57%
2024-04-02,5309,系統電,電子零組件業,-9.49,0.0,4.75,0.28,35.85,35.35,-1.12,-1.39,2241.22,13529.0,2403.71,-138.0,4.0,3.0,2.0,-0.33,3.0,-296.0,15.0,0.0,0.0,1.32,-74.0,-0.04,1.62,-64.0,-0.03,0.32,,,0.0,0.0,-0.01,0.0,0.0,0.0,-0.59,-0.43,0.6,1.0,4.0,9.0,,,,,,,-1.84,-1.29,-1.01,-0.35,凱基-台北,4.33%,新光,2.63%,華南永昌-台中,2.14%
2024-04-02,5388,中磊,通信網路業,-5.9,1.48,13.0,0.0,137.5,137.5,0.0,-0.72,2754.5,10376.63,3721.7,-220.0,3.0,4.0,101.0,24.25,3.0,-136.0,84.0,0.0,0.0,10.8,-206.0,-0.08,29.64,-14.0,-0.01,0.76,,,2.16,6.09,5.73,3.0,8.0,9.0,-2.84,-5.21,-5.34,1.0,1.0,7.0,,,,,,,-3.1,-5.95,-3.0,3.4,玉山證券,6.21%,摩根大通,4.72%,港商野村,4.21%
2024-04-02,5469,瀚宇博,電子零組件業,-3.8,0.33,7.700000000000003,0.66,61.4,61.2,0.33,-1.77,6046.72,19291.04,7154.21,-126.0,3.0,-32.0,6.0,-1.19,2.0,-895.0,-88.0,1630.0,0.31,9.67,-1834.0,-0.35,14.48,78.0,0.01,0.41,,,3.01,2.78,2.4,5.0,7.0,8.0,-1.83,-0.72,-0.2,0.0,2.0,7.0,,,,,,,-0.76,-1.55,1.83,3.8,元大證券,18.04%,國票-敦北法人,7.13%,元大-館前,6.8%
2024-04-02,5484,慧友,光電業,-2.94,0.2,2.1999999999999997,0.81,25.0,24.85,0.2,-0.6,22.18,49.46,38.72,-2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-0.0,0.95,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,-0.0,-0.03,0.0,4.0,11.0,,,,,,,-0.22,-0.05,-0.64,-1.32,元大-高雄,40.91%,國泰-板橋,13.64%,統一-員林,9.09%
2024-04-02,6146,耕興,其他電子業,-3.3,0.2,47.5,0.0,249.5,247.0,-1.0,-1.0,732.62,1971.01,923.11,-145.0,2.0,0.0,0.0,,2.0,28.0,-47.0,-91.0,-0.09,3.51,-34.0,-0.03,35.95,-20.0,-0.02,0.61,,,0.39,1.78,3.22,3.0,6.0,10.0,-1.07,-2.39,-2.27,1.0,1.0,7.0,,,,,,,-7.2,-14.85,-9.45,6.98,凱基-台北,7.09%,國泰證券,5.46%,兆豐-忠孝,4.09%
2024-04-02,6176,瑞儀,光電業,-2.03,0.3,28.0,-0.29,169.0,174.0,2.65,0.0,5771.72,12100.6,5690.31,2026.0,3.0,122.0,-11.0,-1.09,2.0,-151.0,-164.0,1613.0,0.35,27.93,330.0,0.07,30.22,83.0,0.02,13.24,,,1.06,1.04,4.39,3.0,4.0,14.0,-1.24,-2.94,-4.95,2.0,3.0,6.0,,,,,,,2.6,-0.7,0.05,23.04,永豐金證券,23.28%,凱基-台北,12.79%,香港上海匯豐,6.08%
2024-04-02,6190,萬泰科,通信網路業,-2.88,0.71,1.0499999999999972,0.84,35.9,35.3,-0.84,-1.81,846.85,1981.04,1284.9,76.0,0.0,-21.0,-19.0,-0.1,3.0,-38.0,-40.0,0.0,0.0,0.0,76.0,0.05,2.77,0.0,0.0,0.54,,,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.63,0.87,4.0,8.0,14.0,,,,,,,-0.48,-0.21,0.14,3.02,永豐金-板新,9.45%,美林,6.02%,美商高盛,4.72%
2024-04-02,6204,艾華,電子零組件業,-2.68,-0.34,6.0,1.04,146.0,144.0,-0.35,-2.04,401.29,1410.83,455.38,-22.0,4.0,3.0,3.0,0.0,1.0,-21.0,-9.0,0.0,0.0,0.0,-22.0,-0.1,1.55,-0.0,-0.0,0.49,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.23,-0.42,-1.08,2.0,4.0,10.0,,,,,,,-0.9,-1.05,0.12,8.43,兆豐-岡山,4.24%,摩根大通,2.99%,聯邦-高雄,1.5%
2024-04-02,6237,驊訊,半導體業,-2.6,1.5,10.099999999999994,0.99,61.5,60.7,-0.33,-1.3,513.16,838.54,557.72,15.0,0.0,-42.0,-75.0,0.79,2.0,-45.0,-37.0,0.0,0.0,0.0,23.0,0.03,2.15,-8.0,-0.01,3.38,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,-0.31,-1.73,3.0,6.0,9.0,,,,,,,0.08,-0.02,-0.73,-2.93,凱基-羅東,7.21%,富邦-台北,5.46%,元大-新莊,3.7%
2024-04-02,6569,醫揚,生技醫療業,-2.74,-1.13,19.5,0.0,175.5,173.5,-1.14,-1.7,88.96,192.86,149.8,-3.0,2.0,-1.0,0.0,-1.0,0.0,-49.0,-5.0,0.0,0.0,0.0,-3.0,-0.01,3.06,0.0,0.0,0.16,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.18,-0.08,0.21,1.0,4.0,9.0,,,,,,,-4.9,-4.1,0.55,7.82,合庫-自強,5.62%,國票-台南,4.49%,國票-南科,3.37%
2024-04-02,6579,研揚,電腦及週邊設備業,-2.37,-0.91,7.0,0.92,165.0,164.5,0.61,-0.6,146.97,297.61,186.56,-66.0,2.0,2.0,0.0,-1.0,0.0,-18.0,-8.0,0.0,0.0,0.18,-64.0,-0.04,2.88,-2.0,-0.0,0.27,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.12,-0.02,1.0,5.0,6.0,,,,,,,-0.5,-1.0,3.53,4.54,元富-城東,10.2%,元大-文心興安,4.76%,玉山-嘉義,4.08%
2024-04-02,6693,廣閎科,半導體業,-2.94,-1.38,8.799999999999997,2.37,73.3,71.6,0.0,-2.32,104.0,186.02,127.16,-6.0,0.0,0.0,0.0,,2.0,-11.0,-32.0,0.0,0.0,0.0,-6.0,-0.01,1.47,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,-0.06,-0.55,1.0,4.0,7.0,,,,,,,-1.46,-1.3,-1.43,0.33,凱基-台北,12.5%,台新證券,10.58%,富邦-八德,7.69%
2024-04-02,6855,數泓科,其他電子業,-2.67,0.39,9.5,-1.95,125.5,127.5,-0.39,-0.39,22.21,30.35,14.06,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.13,1.0,0.0,0.04,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.07,0.09,1.0,1.0,8.0,,,,,,,-2.0,-0.1,0.85,,統一-土城,13.64%,凱基-敦北,9.09%,富邦-七賢,9.09%
2024-04-02,8016,矽創,半導體業,-2.83,-0.34,28.0,0.52,292.0,293.5,1.03,-0.51,864.85,4638.48,1688.21,335.0,3.0,-7.0,9.0,-2.29,1.0,-28.0,-129.0,379.0,0.32,23.73,-53.0,-0.04,29.68,9.0,0.01,0.91,,,2.48,3.72,4.08,5.0,7.0,9.0,-1.58,-2.17,-3.12,0.0,2.0,5.0,,,,,,,-2.3,-6.2,-0.77,7.32,凱基,30.4%,凱基-台北,10.06%,宏遠證券,7.98%
2024-04-02,8155,博智,電子零組件業,-2.1,2.14,11.0,0.0,143.0,141.5,-1.05,-1.05,223.35,781.78,518.57,-33.0,3.0,3.0,0.0,-1.0,1.0,-79.0,-29.0,0.0,0.0,4.03,-44.0,-0.09,3.22,11.0,0.02,1.23,,,0.1,-0.03,-2.87,1.0,1.0,1.0,-0.26,0.14,0.5,2.0,5.0,10.0,,,,,,,-0.8,-1.0,1.7,-4.88,兆豐-城中,11.21%,凱基-中山,11.21%,台新證券,6.73%
2024-04-02,8234,新漢,電腦及週邊設備業,-2.37,0.0,5.75,0.0,49.4,49.55,0.3,-0.4,445.67,959.95,670.77,45.0,0.0,-16.0,-4.0,-0.75,1.0,-5.0,-57.0,0.0,0.0,0.0,52.0,0.04,4.32,-7.0,-0.0,0.2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.07,-0.8,-1.68,3.0,4.0,6.0,,,,,,,-0.4,-1.42,1.17,2.11,元大-成功,22.42%,凱基-台北,9.42%,凱基-竹科,3.14%
